[     705ms] [WARNING] [Terminal] WebSocket not ready, message not sent: {checkActive: force} @ http://100.99.60.106:8000/build/assets/app-BNvJoPaw.js:8
[  825677ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  827686ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  885683ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  887676ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  945679ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  947691ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1005677ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1007679ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1065682ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1067682ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1125682ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1127685ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1185694ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1187697ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1245689ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1247687ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1305688ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1307688ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1365690ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[ 1367695ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
